BEeHjJ	BEeHjJ	0	0		subst:pl:ger:gen:n+verb:inf:?perf+verb:inf:?perf
BEeHJj	BEeHJj	0	0		subst:pl:ger:gen:n+verb:inf:?perf+verb:inf:?perf
BeEHJj	BeEHJj	0	0		subst:pl:ger:gen:n+verb:inf:?perf+verb:inf:?perf+verb:inf:?perf
BEeHjJk	BEeHjJk	0	0		verb:inf:?perf
BEeHJjk	BEeHJjk	0	0		verb:inf:?perf
BeEHjJk	BeEHjJk	0	0		verb:inf:perf
BeGHhi	BeGHhi	0	0		verb:inf:?perf
BeGhHj	BeGhHj	0	0		verb:inf:?perf
BeGHhj	BeGHhj	0	0		verb:inf:perf
BeGHiI	BeGHiI	0	0		verb:inf:perf
BeGHIi	BeGHIi	0	0		verb:inf:perf
BeGHIj	BeGHIj	0	0		verb:inf:?perf
BeGHj	BeGHj	0	0		subst:pl:ger:gen:n+verb:inf:perf+verb:inf:imperf
BeGhj	BeGhj	0	0		verb:inf:perf
BeGHjJ	BeGHjJ	0	0		verb:inf:perf
BeGHJj	BeGHJj	0	0		verb:inf:perf
BehHi	BehHi	0	0		verb:inf:?perf
BeHhi	BeHhi	0	0		verb:inf:?perf
BeHhiIk	BeHhiIk	0	0		verb:inf:?perf
BehHj	BehHj	0	0		verb:inf:?perf
BeHhj	BeHhj	0	0		verb:inf:?perf
BeHiI	BeHiI	0	0		verb:inf:?perf
BeHIi	BeHIi	0	0		verb:inf:?perf
BeHiIJk	BeHiIJk	0	0		verb:inf:?perf
BeHIiJk	BeHIiJk	0	0		verb:inf:perf
BeHIj	BeHIj	0	0		subst:pl:ger:gen:n+verb:inf:?perf+verb:inf:?perf
BeHiJ	BeHiJ	0	0		verb:inf:?perf
BeHIjJk	BeHIjJk	0	0		verb:inf:imperf+verb:inf:?perf
Behj	Behj	0	0		verb:inf:imperf+verb:inf:?perf+verb:inf:?perf
BeHJj	BeHJj	0	0		subst:pl:ger:gen:n+subst:sg:nom:f+verb:inf:imperf+verb:inf:?perf+verb:inf:?perf+verb:inf:?perf
BeHjJ	BeHjJ	0	0		subst:pl:ger:gen:n+verb:inf:?perf+verb:inf:?perf
BeHJjk	BeHJjk	0	0		verb:inf:imperf+verb:inf:?perf
Bej	Bej	0	0		verb:inf:?perf
BFJ	BFJ	0	0		verb:inf:perf
bUV	bUV	0	0		subst:pltant:nom.acc:n+subst:sg:nom.acc:n
bxX	bxX	0	0		adj:sg:nom:m
bXx	bXx	0	0		adj:sg:nom:m
bxXY	bxXY	0	0		adj:sg:nom.acc:m+adj:sg:nom:m
bXxY	bXxY	0	0		adj:sg:nom.acc:m+adj:sg:nom:m
bxXy	bxXy	0	0		adj:sg:nom:m
